sample_id,C,m,sigma_scale,life_cycles
110,1.0017046697804023e-10,2.9290454932053884,1.027938551736888,174412.2777065062
111,9.828226178238987e-11,2.9396343034340733,1.027925759080378,173110.58106459238
112,9.029616042531078e-11,2.9811238044568946,0.9678608215179638,203199.94790253026
113,8.211784459787084e-11,2.9098578620681517,1.027356115271967,223616.85997295319
114,9.669244327405316e-11,2.938938393893841,0.9595684765063722,215772.74665618513
115,9.09168699929875e-11,2.8640790740684916,0.9695621538177337,267446.78515440214
116,9.823369162900516e-11,2.8962698303236714,1.056347157160615,178438.70003935107
117,9.620978059702505e-11,2.9007534180053636,1.0487328845350101,183950.9146581517
118,1.1137707735668079e-10,2.9115098135819037,0.9646812248942104,197214.3634427235
119,9.370218597625897e-11,2.9672539807582763,0.9633211828249479,205413.77346236305
120,8.61744240708301e-11,2.945514568194483,0.9677201698771164,232393.78750809113
121,9.772104609558064e-11,2.8944217002900183,1.0366319783232745,190318.48732579002
122,9.811196816612895e-11,2.809087401505896,0.9500007609594802,300399.15128715674
123,1.090482007223082e-10,2.8967671258062713,1.0178356319517976,178774.20765017226
124,1.0401706796077996e-10,2.8871982215104257,1.0373423405317148,181723.04322122564
125,9.942596216783529e-11,2.90931815798132,0.995587727485345,202636.57503117522
126,1.100477077557078e-10,3.1106525307140402,1.0505031848432465,94202.10872263028
127,8.458787467850064e-11,2.8376227221458765,0.9847844915255104,293488.632654284
128,8.985838528560243e-11,2.932228901912536,0.9893072199503042,215809.58432122617
129,8.710487096250697e-11,2.99684620672443,0.9511376884434072,213573.42094884996
130,9.225782588970463e-11,2.8998001914099385,1.0508588673810102,191167.9914039084
131,8.278381298345943e-11,3.1237845119172167,0.9616739776510564,159661.08178245477
132,1.0209744908941828e-10,2.8521960708268526,1.017488590885753,213684.37485292036
133,9.386666210785178e-11,2.922408922232005,0.9964341966437033,207273.00005290474
134,8.188025957277449e-11,2.810119425510702,0.9473608468444169,361863.4194649075
135,8.62504408204076e-11,2.854847526485671,0.969544842808834,288393.5498770991
136,9.900973293552188e-11,2.9148933910396657,1.0691436119520368,163044.2687561419
137,1.0404601505178607e-10,2.974630406230773,1.010082877131724,157797.44035151188
138,1.1516861656024116e-10,2.9219094834023576,0.9495424829316579,194726.61645964524
139,1.2397307967367038e-10,3.015911484933474,1.0152664143674346,117684.65889266903
140,9.997833055944958e-11,2.880503468940733,0.9926942984202728,218260.25380892403
141,8.650043404769411e-11,2.8567831470161,1.172702320112209,166202.47167503228
142,7.553235570497943e-11,3.160398510727939,1.0142561920671136,135316.45002364056
143,9.857003003850083e-11,2.929423764944203,0.9809687576466818,203077.6649756553
144,8.819576548502088e-11,2.8180518454021453,1.0710013958893552,233214.78871932768
145,9.201257030227502e-11,2.8205736237751933,0.9079481916353578,353893.4263297686
146,9.012387072902584e-11,2.795732008546866,1.004716007819055,288892.6686344345
147,9.464840749040271e-11,2.983656935585679,1.0997214247340537,131609.6035116257
148,1.0623341021556139e-10,2.853562270710676,0.9941900357820123,218649.3502089901
149,9.750766624747532e-11,2.902736247565649,0.913334947767596,269754.4157163394
150,9.44771055644286e-11,2.8836491325561733,0.9802041017794701,237698.94524505225
151,8.605772397287221e-11,2.9631492407940936,1.0727259020479518,164251.54715841496
152,7.992304373083817e-11,2.805325590711598,1.0188034798160386,305875.5713799935
153,9.133144407289603e-11,2.7824427713856985,0.9580571945243741,336374.9896916825
154,9.548368751214412e-11,2.9124297307181597,0.9657378596410489,228793.25985970948
155,1.1297212717036689e-10,2.95009592846999,0.9720149864425094,173017.42360071937
156,9.725063540613971e-11,2.923253231309764,1.0180598942026997,187497.13264800547
157,1.0543429930582136e-10,2.8090546270902674,1.0669098066469327,201783.9330809891
158,9.120676225402415e-11,2.9577484842091395,1.0526211506399585,166170.36919644722
159,8.462453984239657e-11,2.8156139072904365,1.0228006091054564,278435.88126700756
160,8.673487908256923e-11,2.837846135521362,0.9334177619971258,333034.045531884
161,8.903782978045678e-11,2.7956046475278,0.9336033743003279,359142.031623034
162,1.1643330943137758e-10,3.0201158348652033,1.026662601060688,119890.0624960784
163,8.81146878794459e-11,2.953342154102735,0.9327264451033552,248586.4569271142
164,1.0404949635586892e-10,2.9504993375678876,0.9887216489465698,178465.7417972561
165,8.733189909036455e-11,3.014721142114245,1.0152075223093089,167585.90664963378
166,1.0494310092359275e-10,3.1712649248238725,0.9431203002318655,119394.02396954635
167,9.969552927461629e-11,2.7190773896089846,0.9487868832820568,369578.6555505735
168,9.449627618248233e-11,2.8161623419122894,0.9952939467716091,268875.26590662816
169,9.560867974909984e-11,2.828382491582548,1.0251825143762028,237105.17009473205
170,8.971403812387786e-11,2.804918037761731,1.0530759385206878,248596.95268273022
171,1.0028229313422798e-10,2.782241675239629,1.0303526717385276,250339.97203087108
172,9.163215858872851e-11,2.8600346935944634,1.0036828297496097,242764.78369907383
173,8.423418466783441e-11,2.7683396284710597,0.9626902623221475,372527.0799584494
174,8.373179928653166e-11,2.9235042367537414,0.9464546502077741,269353.0402402075
175,9.765684401013236e-11,2.8951698321428614,0.9744561455835427,227362.46079090866
176,1.1115927606154019e-10,2.9381028664763655,1.0204967792490283,156955.411308799
177,9.753591949030501e-11,2.9407728451638255,1.0168311853313672,179578.26621731633
178,9.486107206934513e-11,2.950300685342668,0.8950049007137438,262733.9565152875
179,9.874393094018441e-11,2.852659106317612,0.9607161485866249,259958.03648953701
180,1.0853761672038552e-10,3.102114340263367,1.0602253775803079,94838.91377677677
181,9.810607201309302e-11,2.91344311164821,1.003960752390207,198374.6544424462
182,9.205509858399612e-11,2.7037515247375206,0.9291495543448507,439707.27379461436
